image_id,x_1,y_1,width,height
005265.jpg,274,148,148,205
018144.jpg,260,92,174,241
116428.jpg,109,31,169,234
130858.jpg,53,106,169,234
028690.jpg,11,55,133,184
014715.jpg,54,54,125,173
012101.jpg,331,81,172,238
114148.jpg,197,111,265,367
043941.jpg,430,85,198,274
008286.jpg,163,59,198,274
002558.jpg,471,244,395,547
085080.jpg,213,126,296,410
097468.jpg,273,116,182,252
115262.jpg,1,36,276,382
067445.jpg,153,120,377,522
154010.jpg,8,51,247,342
087813.jpg,379,173,426,590
150905.jpg,156,26,224,310
045344.jpg,86,55,172,238
034377.jpg,132,247,439,608
165037.jpg,45,11,346,479
170479.jpg,179,32,104,144
179286.jpg,788,70,117,162
180478.jpg,16,65,203,281
173054.jpg,659,86,523,724
169376.jpg,219,44,148,205
169007.jpg,94,70,1160,1606
178574.jpg,327,71,221,306
173996.jpg,119,33,218,302
168897.jpg,58,31,83,115
162999.jpg,151,229,988,1368
178019.jpg,646,193,796,1102
178528.jpg,101,75,239,331
178726.jpg,66,61,156,216
175760.jpg,154,18,73,101
181300.jpg,118,19,86,119
178103.jpg,813,183,468,648
180890.jpg,539,40,471,652
174009.jpg,151,104,330,457
173077.jpg,113,63,226,313
170001.jpg,602,321,562,778
179391.jpg,133,41,125,173
179137.jpg,39,57,224,310
168160.jpg,82,26,104,144
178292.jpg,31,29,138,191
164865.jpg,111,33,114,158
172626.jpg,1121,240,673,932
166481.jpg,186,26,91,126
178820.jpg,77,78,255,353
177512.jpg,239,21,172,238
171864.jpg,135,39,114,158
179040.jpg,619,62,645,893
176466.jpg,105,22,146,202
164055.jpg,95,70,255,353
163342.jpg,136,101,78,108
178326.jpg,58,1,333,396
172935.jpg,82,14,75,104
172066.jpg,173,23,138,191
163292.jpg,200,78,213,295
179170.jpg,197,91,224,310
050708.jpg,386,110,491,680
146333.jpg,103,99,192,266
142641.jpg,132,100,164,227
030938.jpg,302,28,91,126
112998.jpg,80,108,250,346
016690.jpg,291,75,140,194
059117.jpg,142,96,135,187
020899.jpg,456,49,198,274
128346.jpg,152,89,70,97
108338.jpg,154,89,122,169
054312.jpg,94,46,117,162
139067.jpg,430,1,538,745
088956.jpg,187,41,179,248
013645.jpg,286,12,125,173
003647.jpg,346,88,569,788
115095.jpg,144,44,104,144
068741.jpg,154,288,125,173
056544.jpg,189,58,148,205
002279.jpg,133,62,148,205
145722.jpg,171,32,114,158
125720.jpg,99,23,135,187
105344.jpg,76,67,177,245
096060.jpg,196,65,91,126
019064.jpg,107,33,57,90
131620.jpg,230,54,86,119
026575.jpg,36,21,70,97
029666.jpg,227,66,143,198
133859.jpg,44,26,68,94
080638.jpg,31,13,70,97
008172.jpg,112,15,75,104
109201.jpg,200,44,211,292
045997.jpg,27,28,62,86
014786.jpg,262,58,151,209
158924.jpg,4,41,73,101
063121.jpg,542,66,338,468
066311.jpg,109,20,213,295
006829.jpg,77,30,70,97
136497.jpg,53,19,96,128
017820.jpg,213,19,174,241
146084.jpg,223,28,109,151
114573.jpg,83,65,122,169
100603.jpg,182,55,159,220
086145.jpg,79,71,169,234
027584.jpg,152,84,164,227
116974.jpg,93,78,192,266
030741.jpg,124,57,122,169
031911.jpg,73,86,174,241
120566.jpg,84,85,135,187
073142.jpg,83,60,161,223
014689.jpg,74,46,125,173
100938.jpg,138,54,146,202
050894.jpg,213,21,112,155
021316.jpg,137,63,86,119
156364.jpg,69,44,164,227
053221.jpg,64,84,156,216
060483.jpg,202,32,107,148
005950.jpg,76,83,182,252
127124.jpg,123,88,169,234
026052.jpg,159,55,179,248
140742.jpg,123,55,156,216
112515.jpg,105,49,94,130
093177.jpg,101,94,276,382
088118.jpg,88,109,260,360
037664.jpg,129,75,185,256
113202.jpg,143,83,148,205
039490.jpg,106,63,172,238
046109.jpg,70,38,112,155
116076.jpg,27,22,104,144
079804.jpg,86,47,109,151
012761.jpg,158,98,94,130
095565.jpg,317,123,182,252
052123.jpg,222,75,133,184
029667.jpg,119,121,153,212
156302.jpg,273,122,361,500
061167.jpg,117,129,257,356
074811.jpg,115,43,94,130
009193.jpg,353,275,395,547
124304.jpg,53,65,125,173
037007.jpg,85,128,260,360
143398.jpg,87,32,325,450
197700.jpg,166,37,172,238
196329.jpg,76,70,112,155
194307.jpg,226,122,112,155
184315.jpg,73,103,107,148
197768.jpg,198,113,205,284
184767.jpg,110,194,195,270
185489.jpg,616,320,429,594
198289.jpg,110,98,166,230
191730.jpg,248,42,86,119
183495.jpg,84,90,192,266
196956.jpg,225,59,133,184
186842.jpg,195,79,153,212
183710.jpg,58,72,148,205
201865.jpg,47,39,164,227
189667.jpg,146,72,130,180
190371.jpg,161,67,166,230
182996.jpg,176,75,164,227
198401.jpg,235,56,159,220
183769.jpg,61,31,86,119
200853.jpg,458,142,312,432
141053.jpg,139,187,307,425
037947.jpg,118,59,62,86
116292.jpg,92,84,530,734
129311.jpg,39,20,62,86
022885.jpg,108,57,112,155
029964.jpg,136,39,309,428
058193.jpg,148,77,216,299
157739.jpg,318,111,312,432
009205.jpg,268,52,143,198
089511.jpg,124,50,122,169
044981.jpg,46,39,68,94
010092.jpg,143,122,419,580
082512.jpg,37,14,60,83
050173.jpg,230,80,127,176
053239.jpg,83,108,234,324
001786.jpg,29,69,112,155
129525.jpg,159,107,148,205
015487.jpg,1128,347,621,860
149901.jpg,277,97,122,169
049471.jpg,282,175,200,277
131243.jpg,65,71,159,220
036485.jpg,404,124,307,425
105731.jpg,240,36,156,216
118781.jpg,228,159,486,673
031157.jpg,367,138,205,284
035647.jpg,226,45,83,115
054962.jpg,1646,236,1251,1732
159295.jpg,44,89,195,270
009241.jpg,1967,233,499,691
082127.jpg,218,73,146,202
038955.jpg,60,99,247,342
022762.jpg,71,39,153,212
072854.jpg,166,104,104,144
045465.jpg,150,133,294,407
048897.jpg,71,50,182,252
002601.jpg,121,101,86,119
121746.jpg,98,82,161,223
022984.jpg,1,40,234,324
153478.jpg,239,77,257,356
042915.jpg,72,76,88,122
142840.jpg,71,103,257,356
028219.jpg,168,113,283,392
133174.jpg,150,80,127,176
133975.jpg,357,145,421,583
017481.jpg,156,59,117,162
025563.jpg,693,18,166,230
088865.jpg,124,61,109,151
158590.jpg,116,46,169,234
010765.jpg,153,56,130,180
121875.jpg,137,114,286,396
041129.jpg,202,80,174,241
013744.jpg,673,43,112,155
113003.jpg,149,42,133,184
055253.jpg,352,179,380,526
056173.jpg,644,449,827,1145
009122.jpg,344,42,208,288
134828.jpg,370,75,192,266
014783.jpg,601,60,172,238
149807.jpg,331,142,294,407
050088.jpg,756,146,260,360
179667.jpg,272,76,122,169
166412.jpg,106,104,143,198
178808.jpg,1403,91,190,263
179022.jpg,130,63,135,187
165930.jpg,313,49,117,162
165950.jpg,927,219,510,706
171845.jpg,95,103,156,216
182314.jpg,758,165,450,623
163982.jpg,466,63,112,155
175312.jpg,230,98,135,187
166868.jpg,721,101,270,374
165787.jpg,344,181,408,565
173826.jpg,175,74,229,317
168147.jpg,150,272,393,544
169090.jpg,220,238,224,310
163651.jpg,286,117,198,274
179045.jpg,153,49,112,155
165896.jpg,626,105,218,302
182190.jpg,400,190,338,468
167889.jpg,700,226,439,608
144859.jpg,261,190,153,212
026895.jpg,143,54,135,187
132171.jpg,150,81,117,162
139549.jpg,163,101,192,266
018583.jpg,145,86,213,295
025670.jpg,88,39,125,173
048962.jpg,82,78,138,191
150758.jpg,489,190,533,738
000838.jpg,130,78,101,140
077051.jpg,90,27,125,173
027958.jpg,94,62,231,320
003646.jpg,128,78,164,227
057011.jpg,107,100,218,302
034216.jpg,197,100,133,184
041084.jpg,135,82,174,241
000116.jpg,111,74,187,259
142090.jpg,36,61,182,252
009795.jpg,243,214,426,590
146345.jpg,158,58,91,126
028720.jpg,305,281,278,385
198747.jpg,281,138,109,151
184786.jpg,155,81,169,234
196836.jpg,123,81,166,230
197522.jpg,296,130,278,385
183557.jpg,186,146,208,288
183867.jpg,187,265,270,374
188214.jpg,110,129,138,191
199890.jpg,1114,504,588,814
183020.jpg,151,44,151,209
193742.jpg,97,26,257,356
185106.jpg,158,82,112,155
183174.jpg,186,146,208,288
193593.jpg,97,102,172,238
185373.jpg,201,79,81,112
187105.jpg,4,78,122,169
182907.jpg,54,57,94,130
198610.jpg,313,153,114,158
183226.jpg,430,218,322,446
199815.jpg,130,95,169,234
185111.jpg,194,133,330,457
124957.jpg,144,144,353,508
054819.jpg,292,90,138,191
121886.jpg,127,102,267,428
123613.jpg,85,64,221,306
031712.jpg,69,69,283,392
050675.jpg,142,148,283,392
088764.jpg,78,120,237,328
156390.jpg,146,133,172,238
014728.jpg,85,57,198,274
116901.jpg,48,72,177,245
056873.jpg,101,154,289,400
029204.jpg,82,105,320,443
104754.jpg,186,163,309,428
071277.jpg,180,46,140,194
081963.jpg,184,181,395,547
000150.jpg,340,179,286,396
124276.jpg,132,76,151,209
031324.jpg,77,76,372,515
155085.jpg,174,210,114,158
061257.jpg,109,35,179,248
065274.jpg,155,83,250,346
062161.jpg,459,146,273,378
147081.jpg,142,168,393,544
101078.jpg,43,62,268,371
055899.jpg,41,89,315,436
139619.jpg,234,30,525,727
110212.jpg,114,126,224,310
041293.jpg,532,252,624,864
122873.jpg,222,77,169,234
069364.jpg,93,44,172,238
051809.jpg,100,91,229,317
073286.jpg,42,129,208,288
085653.jpg,561,140,270,374
032486.jpg,82,80,239,331
139081.jpg,114,238,286,396
130562.jpg,160,99,226,313
052645.jpg,69,54,226,313
143201.jpg,48,118,257,356
069882.jpg,95,121,278,385
122060.jpg,361,111,559,774
052913.jpg,110,53,200,277
042490.jpg,181,160,109,151
141970.jpg,178,90,393,507
105787.jpg,243,366,328,454
042035.jpg,285,181,283,392
137365.jpg,63,110,291,403
119018.jpg,156,8,146,202
005700.jpg,66,53,91,126
127787.jpg,170,48,130,180
072468.jpg,110,23,117,162
023704.jpg,153,53,135,187
087443.jpg,148,37,156,216
088346.jpg,342,122,478,662
003677.jpg,134,194,151,209
134487.jpg,52,206,637,882
130154.jpg,799,185,666,922
036339.jpg,48,95,174,241
140983.jpg,170,50,81,112
084325.jpg,81,59,278,385
125372.jpg,6,25,218,272
018539.jpg,90,66,387,544
017835.jpg,84,119,216,299
154178.jpg,15,39,356,493
075517.jpg,121,63,226,313
013428.jpg,120,81,250,346
130852.jpg,97,110,247,342
