image_id,person_id
170154.jpg,1713
032355.jpg,1034
031038.jpg,2156
025207.jpg,2509
021885.jpg,1305
049392.jpg,2837
166446.jpg,1090
038291.jpg,659
038141.jpg,467
044028.jpg,2808
037925.jpg,2301
058112.jpg,1603
069531.jpg,1489
026286.jpg,1648
024417.jpg,2472
039959.jpg,1761
038860.jpg,918
043008.jpg,2908
034103.jpg,1351
038425.jpg,1537
044829.jpg,2110
032336.jpg,1373
029272.jpg,2263
168124.jpg,1899
054024.jpg,975
018147.jpg,1326
164621.jpg,2846
032251.jpg,69
169282.jpg,1631
167279.jpg,1032
167432.jpg,1120
036782.jpg,2805
031874.jpg,1984
047290.jpg,2134
034594.jpg,1377
179667.jpg,4740
038118.jpg,2067
019356.jpg,2507
041934.jpg,2120
030810.jpg,417
053263.jpg,2772
029241.jpg,1499
032227.jpg,1936
041722.jpg,2924
045113.jpg,992
052954.jpg,1628
042742.jpg,1204
168338.jpg,56
065274.jpg,14
026889.jpg,1335
040191.jpg,1490
131243.jpg,2114
052290.jpg,2419
049861.jpg,2006
038523.jpg,2844
029267.jpg,487
168413.jpg,2119
168405.jpg,2823
166679.jpg,1884
056631.jpg,679
051333.jpg,1815
045256.jpg,289
167404.jpg,2303
046921.jpg,2073
047452.jpg,2160
171815.jpg,1314
051931.jpg,1607
029398.jpg,284
038981.jpg,1873
029288.jpg,1275
168125.jpg,2180
042951.jpg,1303
039673.jpg,2518
050831.jpg,82
040320.jpg,2938
061974.jpg,1874
030555.jpg,2602
