image_id,person_id
040052.jpg,1784
036197.jpg,1784
041058.jpg,2141
040719.jpg,2141
049957.jpg,2451
048836.jpg,2451
168879.jpg,1877
168722.jpg,1877
168361.jpg,2393
168167.jpg,2393
051412.jpg,1341
050487.jpg,1341
036107.jpg,2643
034740.jpg,2643
059498.jpg,2572
052102.jpg,2572
037084.jpg,1565
034875.jpg,1565
059465.jpg,2570
057761.jpg,2570
045667.jpg,2887
040135.jpg,2887
036290.jpg,676
031552.jpg,676
167260.jpg,1673
166453.jpg,1673
063775.jpg,1601
032689.jpg,1601
032903.jpg,1272
027967.jpg,1272
060744.jpg,1258
053824.jpg,1258
046687.jpg,2580
039328.jpg,2580
167068.jpg,2599
166886.jpg,2599
034968.jpg,1947
030562.jpg,1947
048383.jpg,95
044521.jpg,95
042479.jpg,988
041652.jpg,988
045191.jpg,2079
026401.jpg,2079
056864.jpg,1213
054028.jpg,1213
044109.jpg,1914
027273.jpg,1914
051648.jpg,2136
041341.jpg,2136
167063.jpg,1642
166979.jpg,1642
023334.jpg,1422
023058.jpg,1422
059104.jpg,305
053878.jpg,305
167041.jpg,2087
166952.jpg,2087
047682.jpg,1066
033665.jpg,1066
044205.jpg,997
031623.jpg,997
030120.jpg,1488
025002.jpg,1488
026921.jpg,2150
022387.jpg,2150
