image_id,person_id,class_id
105787.jpg,17,0
005700.jpg,17,0
042035.jpg,17,0
141970.jpg,17,0
084325.jpg,17,0
119018.jpg,17,0
087443.jpg,17,0
140983.jpg,17,0
036339.jpg,17,0
003677.jpg,17,0
052913.jpg,17,0
125372.jpg,17,0
127787.jpg,17,0
072468.jpg,17,0
012938.jpg,21,1
115356.jpg,21,1
011022.jpg,21,1
154178.jpg,21,1
069652.jpg,21,1
013428.jpg,21,1
018539.jpg,21,1
036240.jpg,21,1
124672.jpg,21,1
101826.jpg,21,1
113297.jpg,21,1
017835.jpg,21,1
137574.jpg,21,1
055752.jpg,21,1
030669.jpg,22,2
121551.jpg,22,2
073133.jpg,22,2
125944.jpg,22,2
073532.jpg,22,2
076966.jpg,22,2
023894.jpg,22,2
064250.jpg,22,2
154793.jpg,22,2
101169.jpg,22,2
147379.jpg,22,2
147449.jpg,22,2
129568.jpg,22,2
000481.jpg,22,2
148247.jpg,23,3
059663.jpg,23,3
073598.jpg,23,3
050720.jpg,23,3
043253.jpg,23,3
028404.jpg,23,3
086601.jpg,23,3
004488.jpg,23,3
132276.jpg,23,3
152805.jpg,23,3
043626.jpg,23,3
053185.jpg,23,3
102115.jpg,23,3
024097.jpg,23,3
027514.jpg,25,4
005346.jpg,25,4
030271.jpg,25,4
061105.jpg,25,4
108698.jpg,25,4
158845.jpg,25,4
102801.jpg,25,4
158737.jpg,25,4
028631.jpg,25,4
037438.jpg,25,4
134150.jpg,25,4
009432.jpg,25,4
080755.jpg,25,4
056793.jpg,25,4
009309.jpg,31,5
021610.jpg,31,5
147218.jpg,31,5
097650.jpg,31,5
017453.jpg,31,5
086122.jpg,31,5
012584.jpg,31,5
127288.jpg,31,5
058124.jpg,31,5
128161.jpg,31,5
017670.jpg,31,5
103672.jpg,31,5
042807.jpg,31,5
153850.jpg,31,5
085687.jpg,32,6
092929.jpg,32,6
123457.jpg,32,6
028906.jpg,32,6
000605.jpg,32,6
065572.jpg,32,6
083891.jpg,32,6
035474.jpg,32,6
028999.jpg,32,6
031019.jpg,32,6
061017.jpg,32,6
140191.jpg,32,6
127014.jpg,32,6
128090.jpg,32,6
105243.jpg,38,7
139498.jpg,38,7
061052.jpg,38,7
100720.jpg,38,7
158710.jpg,38,7
052492.jpg,38,7
113108.jpg,38,7
029417.jpg,38,7
048247.jpg,38,7
129018.jpg,38,7
028286.jpg,38,7
079209.jpg,38,7
043917.jpg,38,7
066095.jpg,38,7
152558.jpg,47,8
079480.jpg,47,8
002766.jpg,47,8
018619.jpg,47,8
142711.jpg,47,8
011733.jpg,47,8
113769.jpg,47,8
135781.jpg,47,8
065466.jpg,47,8
149463.jpg,47,8
044748.jpg,47,8
035512.jpg,47,8
025063.jpg,47,8
090668.jpg,47,8
103090.jpg,59,9
000129.jpg,59,9
028224.jpg,59,9
057820.jpg,59,9
144753.jpg,59,9
037220.jpg,59,9
158536.jpg,59,9
020035.jpg,59,9
050516.jpg,59,9
067303.jpg,59,9
126984.jpg,59,9
020167.jpg,59,9
003668.jpg,59,9
133676.jpg,59,9
045312.jpg,65,10
091237.jpg,65,10
124469.jpg,65,10
058270.jpg,65,10
135549.jpg,65,10
000854.jpg,65,10
097004.jpg,65,10
012357.jpg,65,10
152302.jpg,65,10
105519.jpg,65,10
124416.jpg,65,10
113201.jpg,65,10
045247.jpg,65,10
145844.jpg,65,10
002438.jpg,66,11
148289.jpg,66,11
041513.jpg,66,11
050291.jpg,66,11
158295.jpg,66,11
012165.jpg,66,11
004267.jpg,66,11
053736.jpg,66,11
052968.jpg,66,11
154908.jpg,66,11
022901.jpg,66,11
151048.jpg,66,11
056449.jpg,66,11
079156.jpg,66,11
078260.jpg,85,12
057206.jpg,85,12
032416.jpg,85,12
136140.jpg,85,12
017992.jpg,85,12
105209.jpg,85,12
121791.jpg,85,12
036087.jpg,85,12
072046.jpg,85,12
061645.jpg,85,12
007222.jpg,85,12
085643.jpg,85,12
057483.jpg,85,12
077592.jpg,85,12
013884.jpg,94,13
134873.jpg,94,13
021271.jpg,94,13
072714.jpg,94,13
022032.jpg,94,13
046355.jpg,94,13
123924.jpg,94,13
129646.jpg,94,13
005110.jpg,94,13
140824.jpg,94,13
041583.jpg,94,13
039348.jpg,94,13
024808.jpg,94,13
110784.jpg,94,13
170169.jpg,114,14
171264.jpg,114,14
181053.jpg,114,14
169010.jpg,114,14
174875.jpg,114,14
168450.jpg,114,14
