aligned_id,original_id,image_path,dataset,landmarks_pred,landmarks_aligned,landmarks_ideal
011577_aligned.jpg,011577.jpg,data_CelebA_mini/data_aligned/011577.jpg,train,"[[40.0, 40.0], [68.0, 28.0], [52.0, 60.0], [52.0, 72.0], [80.0, 64.0]]","[[31.216459288314294, 63.39414032894003], [68.85681211087457, 79.03516731675245], [41.09858315529658, 92.7260617563445], [16.393130734555474, 108.1996532758647], [47.562974840690345, 121.15192783143931]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
144506_aligned.jpg,144506.jpg,data_CelebA_mini/data_aligned/144506.jpg,train,"[[40.0, 40.0], [72.0, 40.0], [60.0, 56.0], [40.0, 72.0], [68.0, 76.0]]","[[36.48791699070931, 64.58621365818978], [75.28861083087922, 64.15697996406556], [56.134245909595485, 86.54584845705033], [40.31957186126709, 109.34978569440841], [72.45028841247559, 108.99433439073563]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
120036_aligned.jpg,120036.jpg,data_CelebA_mini/data_aligned/120036.jpg,train,"[[40.0, 40.0], [80.0, 32.0], [64.0, 64.0], [44.0, 76.0], [84.0, 68.0]]","[[34.92178060962971, 61.333666861710185], [64.83450413193337, 66.97282461087153], [46.65593596279438, 81.24820577143154], [30.982504042948214, 96.35666917734879], [55.7531246675198, 101.02643225932486]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
043274_aligned.jpg,043274.jpg,data_CelebA_mini/data_aligned/043274.jpg,train,"[[40.0, 36.0], [76.0, 40.0], [60.0, 56.0], [44.0, 72.0], [68.0, 72.0]]","[[38.41691031022421, 67.05565541981022], [72.44393576070274, 62.89333375275774], [57.809748853525306, 84.4205709584306], [46.14846795619872, 105.98643526911852], [74.32612626421859, 102.53962763162939]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
163786_aligned.jpg,163786.jpg,data_CelebA_mini/data_aligned/163786.jpg,train,"[[40.0, 40.0], [68.0, 40.0], [48.0, 64.0], [44.0, 76.0], [64.0, 72.0]]","[[36.229819212177816, 66.42762982270376], [80.57346931522915, 65.93707702941894], [58.68276654804774, 91.52435530711581], [40.60885334995815, 117.5859978640965], [77.329672265625, 117.17976780275616]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
137737_aligned.jpg,137737.jpg,data_CelebA_mini/data_aligned/137737.jpg,train,"[[40.0, 40.0], [68.0, 40.0], [52.0, 52.0], [44.0, 72.0], [68.0, 72.0]]","[[36.229819212177816, 66.42762982270376], [80.57346931522915, 65.93707702941894], [58.68276654804774, 91.52435530711581], [40.60885334995815, 117.5859978640965], [77.329672265625, 117.17976780275616]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
044864_aligned.jpg,044864.jpg,data_CelebA_mini/data_aligned/044864.jpg,train,"[[40.0, 36.0], [72.0, 44.0], [48.0, 64.0], [36.0, 72.0], [68.0, 80.0]]","[[40.68643093303232, 68.39290601953618], [77.10373485457475, 58.85934634502634], [64.34406633877472, 84.43813196696112], [54.825299525608735, 109.62176090761072], [84.98233832588195, 101.72704990386963]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
167889_aligned.jpg,167889.jpg,data_CelebA_mini/data_aligned/167889.jpg,train,"[[36.0, 40.0], [72.0, 40.0], [60.0, 64.0], [40.0, 72.0], [72.0, 72.0]]","[[40.603903915786745, 63.1323454732683], [75.09340955149334, 62.75080441182454], [58.06730739924113, 82.65202085003321], [44.009819356282556, 102.92218728324042], [72.5704562906901, 102.60623056886459]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
101826_aligned.jpg,101826.jpg,data_CelebA_mini/data_aligned/101826.jpg,train,"[[36.0, 44.0], [68.0, 40.0], [56.0, 60.0], [40.0, 76.0], [68.0, 76.0]]","[[39.121379666190826, 59.89098274081027], [77.19637629103934, 65.33012088548251], [55.05112380422593, 84.37017645601411], [36.11483672860079, 104.32119968302524], [67.64460666292669, 108.82532631450721]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
037977_aligned.jpg,037977.jpg,data_CelebA_mini/data_aligned/037977.jpg,train,"[[36.0, 36.0], [76.0, 36.0], [56.0, 52.0], [36.0, 72.0], [80.0, 68.0]]","[[40.39246371952057, 65.51246076419831], [71.4330187916565, 65.16907380889893], [56.109526854629515, 83.08016860328674], [43.457787615966794, 101.32331839317322], [69.1623608569336, 101.038957350235]]","[[38.2946, 51.6963], [73.5318, 51.5014], [56.0252, 71.7366], [41.5493, 92.3655], [70.7291, 92.2041]]"
